bv_id,oid,level,root_rpid,rpid,parent_rpid,uid,uname,user_level,ctime,like,message
BV1kWQ5Y5Eci,114144728585178,1,257712433904,257712433904,0,39818143,李清源是也,6,1741915246,119,"假如ai真的可以替代绝大部分工作，而这些失业的人又没有足够的经济来源，那么后果是什么？先是市场萎靡，再然后就是。。。
所以但从这点来说，ai不可能完全替代人类，除非ai可以把创造的价值无偿分享给被替代的人，所以我觉得ai更应该是帮助人们提高生产力，生产效率的一个工具"
BV1kWQ5Y5Eci,114144728585178,2,257712433904,256953631841,257712433904,74568474,guangju_dev,6,1741935684,10,对，所以其实不知道未来会发展成啥样🤷🏻‍♂️
BV1kWQ5Y5Eci,114144728585178,2,257712433904,256965784833,257712433904,1209495558,风之侍灵,5,1741946512,3,"是否发展ai,并不是以是否有人失业作为根据的。第一次工业革命就要纺织工人失业，难道就不发展了吗"
BV1kWQ5Y5Eci,114144728585178,2,257712433904,257751990224,257712433904,39818143,李清源是也,6,1741949439,6,回复 @风之侍灵 :你真的以为第一次工业革命只消除岗位，没增加岗位啊？
BV1kWQ5Y5Eci,114144728585178,2,257712433904,256992602641,257712433904,87561888,想一想怎么取个好名字,6,1741965230,0,回复 @风之侍灵 :那后果是什么呢
BV1kWQ5Y5Eci,114144728585178,2,257712433904,257019355825,257712433904,1209495558,风之侍灵,5,1742006306,2,回复 @古希腊掌管作神的神 :这是政府应该解决的问题了，但是是否发展高科技的趋势是不会变的。落后就要挨打，你不发展有人发展
BV1kWQ5Y5Eci,114144728585178,2,257712433904,257019682417,257712433904,1209495558,风之侍灵,5,1742006410,0,回复 @古希腊掌管作神的神 :增加岗位也是推动工业革命的补充措施
BV1kWQ5Y5Eci,114144728585178,2,257712433904,257804371264,257712433904,39818143,李清源是也,6,1742007225,4,回复 @风之侍灵 :那好，那我可要拿起镰刀和锤子了
BV1kWQ5Y5Eci,114144728585178,2,257712433904,257153863841,257712433904,385067977,redeyehare,5,1742126311,2,"ai岗位意义不大,就跟杀毒软件一样,基本只有几家活下来,你就是进去了,哪个行业也不是你能掌握的"
BV1kWQ5Y5Eci,114144728585178,2,257712433904,257859354033,257712433904,365155881,没事不上噼里啪啦,6,1742901241,0,gj应该要想方设法的，整体向好的情况下，以ai/人给人创造新需求
BV1kWQ5Y5Eci,114144728585178,2,257712433904,258892604592,257712433904,649146726,缘结之境,5,1743139828,1,回复 @风之侍灵 :历史并非简单的重复，科技的进步与社会的演化必须形成同频共振，任何一方超过另一方太快，那就要出大事了
BV1kWQ5Y5Eci,114144728585178,2,257712433904,258224433457,257712433904,51993581,90酱汁,5,1743296027,0,"第一你可能还没有理解ai,第二你说的并没有必然的逻辑关系。"
BV1kWQ5Y5Eci,114144728585178,2,257712433904,259054294240,257712433904,39818143,李清源是也,6,1743300267,0,回复 @90酱汁 :你说的第一点没什么逻辑，第二点也没什么逻辑[吃瓜]
BV1kWQ5Y5Eci,114144728585178,2,257712433904,258234251905,257712433904,51993581,90酱汁,5,1743304880,0,回复 @古希腊掌管作神的神 :你开心就好
