topic_id,rpid,username,ctime,message
924080,topic,zqlcrow,,"【标题】真心不明白求教， GPT 真的能编程？
【内容】
不是我不接受新事物，实在是见过太多“语不惊人死不休”。   
从前几年领导“虚心求教”，鸿蒙一出，统一天下（包括当时一堆大佬也这么说）。

到后来的领导“展望未来”，元宇宙一出，改变世界，甚至要考虑把实体业务搬上元宇宙。

再回想更早年，一群大金链的煤老板，在会展中心听各种培训（骗投资的），感慨世界从此改变。   
实在是对这些“吓死人”的话腻味了。   
我知道 GPT 文字处理能力很强，我的问题：

GPT 真的能编程吗？  
网上的各种例子：   
1 、GPT 能写正则，太牛了。

我这种低级码农以前会自己动手写正则？不是都是抄或者生成吗？我知道正则很强大，但我实际没有需要。   
2 、GPT 你画个草图，它就能生成网页，太牛了。

这么简单的网页，早几年那些拖拽组件生成网页的工具就很多了。直接拖不好吗？
既然能生成，为何不干脆找个比如主流网站的几个页面，让它生成一下？
3 、你不懂，现在只是开始，后来会加速。

凡事不就是简单和复杂的区别吗？能处理简单，不代表很快就能处理复杂。

领导也这么说的，鸿蒙现在只是开始，元宇宙现在只是开始，用不了多久。。。。
真的不懂，如果我的感觉不对，希望得到有例子的指正。"
924080,12817539,fredli,2023-03-15 09:34:51 +08:00,GPT 能回答可以定义的问题，回答的还不错，但还需要人的组合
924080,12817540,LavaC,2023-03-15 09:34:53 +08:00,不，它不会写正则。作为一个经常在 lc 上用正则做题的人也问过 gpt 正则问题，结果只能是被车轱辘话急死，会不停重复错误代码但是有正确的输出注释-&gt;不好意思我错了的循环。
924080,12817542,ersic,2023-03-15 09:35:19 +08:00,"我之前跟你想法一样，直到前两天试了试。。。
其实就是搜索引擎，只不过他能比搜索引擎更能明白你想搜什么。
「实践是检验真理的唯一方法」，不去试，永远不明白。"
924080,12817556,zqlcrow,2023-03-15 09:36:50 +08:00,"@ersic 我用它翻译了一本书，感觉文字处理能力，比如生成语言、翻译、搜索，还是很强的。
但这和能替代程序员，不相关。"
924080,12817564,Devilker,2023-03-15 09:37:13 +08:00,简单框架可以
924080,12817569,zqlcrow,2023-03-15 09:37:41 +08:00,"@fredli 
@LavaC 
我的感受是远远没有网上说的，马上，或者快要，让程序员失业"
924080,12817579,zqlcrow,2023-03-15 09:38:59 +08:00,"@Devilker 简单框架的定义是？一个项目的简单框架？这我也是抄的。

一次搭建，次次抄袭。哈哈哈。"
924080,12817584,rockddd,2023-03-15 09:39:32 +08:00,这段时间用下来，我感觉大多数情况比问百度高效，不用去甄别哪些 CSDN 文章是垃圾哪些对我有帮助。
924080,12817595,Devilker,2023-03-15 09:40:20 +08:00,你提的 1.2.3 问题。  如果你换位思考就明白了。 资本家只希望员工越少越好，这 2-3 年全球各大公司都在裁员。根本不会在乎你说的 1.2.3 的问题的自我解答。
924080,12817607,InkStone,2023-03-15 09:41:30 +08:00,"你别总是领导说大佬说，你自己想一想啊……

实际上我反而觉得 chatgpt 更适合初级程序员使用，因为他们遇到的问题往往能在 chatgpt 里得到解答，也需要一个驳杂不精但愿意不厌其烦回答的老师。"
924080,12817612,BiChengfei,2023-03-15 09:41:58 +08:00,同感，感觉就是一个更智能的搜索引擎。距离人的的思维能力，还差十万八千里
924080,12817613,lenqu,2023-03-15 09:42:01 +08:00,你可以了解一下的生成方式，你就明白他只是在学习怎么像人一样说话，但是这并不影响他后面会学其他东西，在这些方面很快超过人类，这是他的优秀的地方，直到实现真正的 AGI
924080,12817621,rb6221,2023-03-15 09:42:28 +08:00,就像楼上说的，他只会回答定义明确的问题。写代码是替代不了的
924080,12817625,zqlcrow,2023-03-15 09:42:43 +08:00,"@Devilker 

这根本不是一回事啊。

2 、3 ，都是在说 GPT 还做不到。"
924080,12817627,Moha,2023-03-15 09:42:50 +08:00,一些简单的问题没有任何问题，丢个它一个需求，直接丢代码给你，比你直接搜索快几倍，它回答的不对，你还可以纠正他，提出新的需求
924080,12817631,xctcc,2023-03-15 09:43:26 +08:00,"我上个月有个游戏用脚本挂着自动玩，不过有时候会掉线，
然后我让 chatgpt 用 go 写一个每隔 30 秒发送屏幕截图到我的 tg 机器人上
然后我时不时看下有没有掉线，解决了我一个小需求"
924080,12817635,ex1gtnim7d,2023-03-15 09:43:43 +08:00,总的来说，以前你做一个东西可能要一天，现在可能只需要一个上午，它确实提高了效率，省去了很大一笔在网上百度搜索的时间，像正则这种东西每次用我都要去搜一下，不用就忘了，我直接跟它描述清楚我要的正则，它给出的结果也让我满意，很多问题我看几页百度才找到的答案，它直接给我了，失业当然是夸张的，但人效提高了，无疑竞争是更加激烈了，chatgpt 缩短了大家的差距，可能你的多年经验对别人来说只需要一个 chatgpt 的加持。
924080,12817637,zqlcrow,2023-03-15 09:43:54 +08:00,"@InkStone   
我自己想，就是大佬们都喜欢“跟上时代”，语不惊人死不休。  
但我不这么认为。  

同理，我现在依旧不这么认为。因为没有证据。"
924080,12817644,quake0day,2023-03-15 09:45:06 +08:00,@zqlcrow ChatGPT 也许不会很快让程序员失业，但是很有可能让不会用 ChatGPT 的程序员很快失业 :)
924080,12817653,zqlcrow,2023-03-15 09:45:55 +08:00,"@kerb15 

编程效率，从我入行以来，业界倒是一直在提高。"
924080,12817654,LiuJiang,2023-03-15 09:45:59 +08:00,现阶段，它能作为辅助工具，比搜索引擎效率更高，以往程序员编程，遇到一些问题，通过搜索引擎查找解决方案，需要做些筛选，现在能更快的给你结果，并且大部分结果都是正确的，这不提高了生产力？随着 ChatGPT 不断发展，未来能够想象的，很有可能实现钢铁侠里面的 AI 管家贾维斯
924080,12817660,kop1989smurf,2023-03-15 09:46:41 +08:00,"1 、编程其实一直遵循着语言、框架制定的一种普世方法论。具有很明显的统计学特征。
2 、编程很大程度上是重复性的逻辑抽象工作。抽象出来无非是条件+顺序+展现。一样具有统计学特征。
3 、编程实现的业务，很大程度上也都是重复的。同样具有统计学特征。

所以，目前的机器学习 AI 确实可以编程。而且其统计学特性极其适合编程。"
924080,12817662,clf,2023-03-15 09:46:52 +08:00,"GPT 的编程，不如你去看官方文档。

一般需要搜的，要么是简单到随手一搜都有正确答案的，只是自己记不起来怎么用的。要么是需要现有方案做参考，学习大致的技术路线的。还有就是各个库的正确用法，这个其实就是找官方文档最佳，除非文档真的很糟。"
924080,12817666,shyrock,2023-03-15 09:47:11 +08:00,有没有想过 gpt 比百度搜索能力强只是因为现在还没有加入广告？
924080,12817669,zqlcrow,2023-03-15 09:47:26 +08:00,"@LiuJiang 

我哪里说它不能提高生产力了？我说的是它不能替代程序员。   
至少，在未来几年内，不能替代。   

“未来能够想象”，这种事情就不是我关心的了。     
未来随意想象。"
924080,12817671,Devilker,2023-03-15 09:47:31 +08:00,@zqlcrow 我们可能不在一个宇宙，多元宇宙里的我在的宇宙 CHATGPT 已经可以很容易的办到你说 123 问题虽然是抄袭的。而且还会结合其他 AI 生成一部 70 分钟电影。
924080,12817675,LavaC,2023-03-15 09:48:32 +08:00,@zqlcrow 失业不至于，但真的是很好的辅助工具，我现在用 gpt3 的衍生工具 copilot 写代码就省去很多以前需要用搜索引擎的地方。但前提是问的问题得是常规问题，稍微定制化一点就会吐无效代码。
924080,12817676,zqlcrow,2023-03-15 09:48:32 +08:00,"@kop1989smurf 
“目前的机器学习 AI 确实可以编程”，有例子吗？  
实际编程，还是写一小段方法。"
924080,12817681,shyrock,2023-03-15 09:49:06 +08:00,"@shyrock 大家应该都曾经有过重构软件后，以为新的架构导致软件性能有了质的飞跃这一经典错觉。
实际上等你把重构时丢失的业务细节加上去，新架构并不会比老架构快几分。"
924080,12817685,listenfree,2023-03-15 09:49:39 +08:00,比较胜作的工作是搜索，比如我不记得 python 如何产生 2M 的随机二进制数据了，它马上会给出 os.urandom()可以生成，非常直接，节约时间。
924080,12817687,kop1989smurf,2023-03-15 09:49:50 +08:00,"@zqlcrow #28 写一个方法也是编程。
如果你把编程定义为：“给我写一个淘宝” = 上线，那你赢了。"
924080,12817693,totoro625,2023-03-15 09:50:33 +08:00,"编程：Ctrl+C Ctrl+V GPT 这种基于大数据的肯定做的比你更好
他如果能写新的轮子，为啥不把自己升级了"
924080,12817695,zqlcrow,2023-03-15 09:50:58 +08:00,"是我的问题，我的提问有问题。  

GPT 能编程是肯定的，我的意思是，它能否替代程序员，真的“能编程”，而不是写一些简单的代码，或者非常单一的代码。  
比如正则，比如视频例子里生成的简单网页。"
924080,12817701,zqlcrow,2023-03-15 09:51:21 +08:00,@kop1989smurf 是的，我的提问有问题。
924080,12817711,cxzweb,2023-03-15 09:52:23 +08:00,@quake0day 我觉得太依赖 chatGPT 到程序员才会有危机感吧，少了自主思考写代码的能力。失业你不可能叫 chatGPT 去给你面试吧
924080,12817712,LiuJiang,2023-03-15 09:52:31 +08:00,@zqlcrow 我也没说塔能替代程序员
924080,12817715,chrawsl,2023-03-15 09:52:50 +08:00,确实有点用，我朋友直接把 ida 生成的 so 反编译代码丢进去，就直接给出了 Python 实现，居然直接能用
924080,12817718,fbichijing,2023-03-15 09:52:58 +08:00,铁器铺里新出了一把刀，吸引了很多人围观。打鱼和种菜的喵了一眼就走了，使矛的过去试了试，不顺手。有人嫌它重，有人嫌它轻，有人觉得是神兵，有人觉得是废铁。而你就问来来往往试过的人，这兵器好不好用。你自己过去试一下不就得了么？
924080,12817719,mazyi,2023-03-15 09:53:06 +08:00,微博搜索宝玉 xp
924080,12817731,leeggco,2023-03-15 09:54:31 +08:00,只要你描述的足够合理，它基本上无所不能
924080,12817733,xylophone21,2023-03-15 09:54:33 +08:00,"个人感觉是更方便的搜索引擎,比如问一些小算法,库的使用,都比 Google 要快. 这些问题有一个共性, 就是你很容易把需求描述清楚.
反过来说,既然不能写代码是因为很难把需求描述清楚(问题太复杂,超过范围也算不能在限制条件下描述清楚), 其实你反过来, 贴一段代码给他,请他帮你找问题或者解释, 也是很好用的."
924080,12817735,koebehshian,2023-03-15 09:54:53 +08:00,"我已经被 ChatGPT 坑过 2 次了

一次是让它找一个数码管显示效果的 JS 库，结果它有模有样有代码有链接，但是链接点进去，却是一个 C 语言的库；

另一次我请教它 C 语言中变长参数传递方法，结果它有模有样有代码有运行结果，我复制它的方法程序直接崩了，我原来
还以为是自己其他代码的问题，后来直接复制它的示例代码运行，结果与它的完全不同。

后来我问它，能不能现自己运行代码验证一下，本来我以为它专业对口，它却说它只是个文字处理工具，无法编译；

我还不死心，以为 C 语言那种编译成机器代码的不行，就问那脚本语言运行一下应该可以吧，结果也不行，原来之前的代码全是它瞎编的，都没有实践过。"
924080,12817736,fredli,2023-03-15 09:55:06 +08:00,@zqlcrow 替代程序员太早了，有些问题是没法准确定义的，让 AI 怎么回答？ GPT 擅长屎山挖金，Google 日子不好过了
924080,12817740,lovekdd,2023-03-15 09:55:27 +08:00,@wxw752 这说得对 我现在查问题都问 chatgpt 了
924080,12817749,lingo,2023-03-15 09:56:35 +08:00,"那就要看怎么定义会不会了。
即使是 copilot ，当写完注释后，它直接就把方法写完了。算不算会。
即使写出来的还是需要多看两眼，但是就说算不算会吧。

再说画草图生成页面，拖拽也行，ok 。但是拖拽行不行跟 gpt 会不会写有啥关系。

题外话，有的人在用 GPT 的时候，努力去证明它不行，那他确实不行。有的人在摸索哪一些工作它行，那它就能实打实地提高工作效率。why not ？"
