topic_id,rpid,username,ctime,message
1104479,topic,lx271896700133,,"【标题】普通程序员还有活路吗？
【内容】
最近用 Cursor ，做了几个简单的网页应用和 flutter 应用，感觉已经很强了。

只要会说中文，然后懂得少量的编程知识，就可以做出成品了。

那普通人学编程还有意义吗？

现在，如果普通程序员失业了，还有必要继续守着老本行吗？"
1104479,15785282,NewYear,2025-01-12 13:24:35 +08:00,"除了可以用辩证的方式考虑问题。
也可以逆向的分析呀。

如果真的这么方便，你作为程序员，为什么不选择创业当老板，招聘一些普通人，去开发一系列软件和 APP ，占领全世界捞钱呢？很多地区，你花个 3500 招聘普通人都绰绰有余，还有海量的大学生抢着干。还可以走向国际，全世界有两百多个国家和地区呢（ AI 理解为，有两百多个国家，和两百多个地区）。

程序员如果会失业，那直接当老板，发展一段时间后，统御旗下几千上万“普通人开发者”不过分吧，这不比当程序员赚钱么。

除非，你得出的结论是错误的，普通人当程序员写程序根本不可行？如果是这样，那还需要担忧吗。"
1104479,15785296,NewYear,2025-01-12 13:32:16 +08:00,"我常常问 AI 一些难题，它常常回答我“这是一个机遇和挑战”，这句话覆盖面很大。总结下就是任何难题，每逢大变，当然是难题，要存活的好好的是个挑战，但也是机遇。。。。看待问题要看重点，比如咱们不选“挑战”，不当倒霉的人，直接奔着“机遇”而去。

这也是我们在黄金大世，有些人赚得盆满钵满，而其他人却始终都是牛马。"
1104479,15785304,GG668v26Fd55CP5W,2025-01-12 13:34:19 +08:00,现在才开始用？ out 了，应该没有活路了
1104479,15785313,lx271896700133,2025-01-12 13:39:18 +08:00,@NewYear #2 有道理，现在最赚钱的 AI 赛道貌似就是抖音卖课。真正拿 AI 实用的，反而没有那么多。不过 AI 的发展速度还是让我挺担心程序员的前途。
1104479,15785315,okakuyang,2025-01-12 13:40:12 +08:00,没前途了，以后都是 AI 系统了
1104479,15785316,akira,2025-01-12 13:40:31 +08:00,你看到的是 没活路，我看到的是 一个风口，数不清的机遇 。。。
1104479,15785326,4UyQY0ETgHMs77X8,2025-01-12 13:46:40 +08:00,你现在可以试试开发一款适用香港的 app ，看看能不能开发出来，ai 并不是万能的
1104479,15785347,thinkm,2025-01-12 13:57:29 +08:00,基本没活路了
1104479,15785356,sagaxu,2025-01-12 14:01:28 +08:00,程序员红利期过了，overpaid 越来越少，回归正常收入水平，再过一二十年，不加班的情况下，可能收入不如送外卖。
1104479,15785416,uqf0663,2025-01-12 14:24:12 +08:00,目前的状态，拼点简单页面还行，但凡需求稍微细化一些或者逻辑稍微复杂一点就一堆 BUG ，让它自己找 BUG 问题更大，而且即使明确指出问题所在，让它改都能越改越离谱，最后还是得人工处理。
1104479,15785475,glcolof,2025-01-12 14:52:08 +08:00,"领导给下属布置任务时，从来不需要对下属编程。
未来的人类给电脑布置任务，应该也不需要对电脑编程。
所以未来肯定不需要编程、不需要程序员了。
但那是未来的事情，可能是三年五年，也可能是十年二十年。
在此之前，程序员还是有饭吃的，能吃一天是一天吧。
真到了那个时候，程序员肯定不是第一批被 AI 取代的，那时候肯定会有其它解决方案的。可能是按需分配，也可能是“人类问题的最终解决方案”。"
