answer_id,level,comment_id,parent_id,author_name,gender,ip_location,like_count,created_at,content
1936704227499050817,1,11253729729,0,钧屹,女,山东,2,2025-08-07 22:15:57,我觉得最大的是流水线作业等程式化比较高度成熟的职业吧。至于那些需要人与人情感交流的、认知层面的，不太容易取代[感谢]
1936704227499050817,2,11253873126,11253729729,流水非瀑布,女,江苏,1,2025-08-07 22:32:17,对，重复性比较高的职业替代性比较高[赞]
1936704227499050817,1,11253541633,0,逢考必胜了,女,河北,2,2025-08-07 18:00:27,如果走进办公室看见很多机器人跟我打招呼，我会感到很害怕。
1936704227499050817,2,11253728351,11253541633,流水非瀑布,女,江苏,1,2025-08-07 21:41:12,[捂嘴][捂嘴][捂嘴]习惯就好了
1936704227499050817,1,11253535609,0,螭离,男,重庆,2,2025-08-07 15:37:12,<p>答主分析的很对，读读写写算算等嘴皮子活儿，可能被取代，富有创意和智慧的工作，还是需要人干的[赞] </p>
1936704227499050817,2,11253320752,11253535609,流水非瀑布,女,江苏,1,2025-08-07 21:42:07,就是这样[赞]
1936704227499050817,1,11253807157,0,风烟,男,江苏,1,2025-08-07 20:01:56,冲击挺大
1936704227499050817,2,11253953629,11253807157,流水非瀑布,女,江苏,1,2025-08-07 21:38:45,是的[感谢]
1936704227499050817,1,11253745866,0,奕者说,男,上海,1,2025-08-07 17:14:48,很多原来流程化的工作被替代的概率加大，对于人的灵活性，协作能力，还有沟通能力要求更高了
1936704227499050817,2,11253809764,11253745866,流水非瀑布,女,江苏,0,2025-08-07 21:39:02,友友总结到位[赞]
1936704227499050817,1,11253685729,0,鉴赏,女,北京,1,2025-08-07 16:22:00,[赞][赞][赞]
1936704227499050817,2,11253578166,11253685729,流水非瀑布,女,江苏,0,2025-08-07 21:39:23,[握手][感谢]
1936704227499050817,1,11253663295,0,苏言果果,女,广东,1,2025-08-07 19:38:45,说不定以后AI比人有“人味儿”[捂脸]
1936704227499050817,2,11253463129,11253663295,流水非瀑布,女,江苏,1,2025-08-07 21:39:38,哈哈，还真有可能[捂脸]
1936704227499050817,1,11253621599,0,感悟成长,未知,北京,1,2025-08-07 14:38:17,<p>现在ai这么强吗</p><p></p>
1936704227499050817,2,11253896977,11253621599,流水非瀑布,女,江苏,2,2025-08-07 21:40:06,[捂嘴]这是未来的事，现在还没有这么强
1936704227499050817,2,11253810005,11253621599,感悟成长,未知,辽宁,0,2025-08-07 21:47:59,<p>好吧[赞同][赞同] </p>
1936704227499050817,1,11253574858,0,林荫漫步,男,河南,1,2025-08-07 19:41:11,文学创作者！
1936704227499050817,2,11253666605,11253574858,流水非瀑布,女,江苏,1,2025-08-07 21:40:13,[赞][赞][赞]
1936704227499050817,1,11253545718,0,Akihi,未知,江苏,1,2025-08-07 20:14:57,<p>ai已经全面渗透生活了[捂脸] </p>
1936704227499050817,2,11253871142,11253545718,流水非瀑布,女,江苏,0,2025-08-07 21:40:51,[捂嘴]处处都有它的身影
1936704227499050817,1,11253544819,0,春满人间,男,广东,1,2025-08-07 19:40:56,还是很明显的！[握手][赞]
1936704227499050817,2,11253438482,11253544819,流水非瀑布,女,江苏,1,2025-08-07 21:40:58,对[握手]
1936704227499050817,2,11253698242,11253544819,春满人间,男,广东,0,2025-08-07 22:33:29,[赞]
1936704227499050817,1,11253516779,0,炎炎夏日,女,江苏,1,2025-08-07 20:10:51,Al太强大了
1936704227499050817,2,11253666666,11253516779,流水非瀑布,女,江苏,0,2025-08-07 21:42:29,使用起来确实方便[捂嘴]
1936704227499050817,1,11253487818,0,云来职场如戏,男,江苏,1,2025-08-07 19:55:22,分析非常专业，学习了[赞][赞][赞]
1936704227499050817,2,11253578371,11253487818,流水非瀑布,女,江苏,1,2025-08-07 21:45:04,[感谢][感谢][感谢]
1936704227499050817,1,11253462926,0,陆无忧,未知,江西,1,2025-08-07 21:33:14,[赞同][赞同][赞同]是的
1936704227499050817,2,11253924969,11253462926,流水非瀑布,女,江苏,1,2025-08-07 21:45:11,[握手][握手][握手]
1936704227499050817,1,11253461152,0,得意,男,广西,1,2025-08-07 20:29:42,[赞]，感觉在提升效率这一块确实好。
1936704227499050817,2,11253438633,11253461152,流水非瀑布,女,江苏,1,2025-08-07 21:45:22,对的，很厉害了
1936704227499050817,2,11253840952,11253461152,得意,男,广西,0,2025-08-07 22:25:29,<p>[握手][赞同][感谢] </p>
1936704227499050817,1,11253434715,0,玛丽花艺生活馆,女,福建,1,2025-08-07 19:53:35,<p>不想被ai取代，就要提高人情味。[赞同][赞同][赞同] </p>
1936704227499050817,2,11253754757,11253434715,流水非瀑布,女,江苏,0,2025-08-07 21:45:33,对的[大笑]
1936704227499050817,1,11253402527,0,栀子花默默的开放,未知,河南,1,2025-08-07 17:25:46,会问问题，会拼接代码，才能在程序员岗位上走的更远[赞同]
1936704227499050817,2,11253548351,11253402527,流水非瀑布,女,江苏,0,2025-08-07 21:45:55,要会利用工具[赞同]
1936704227499050817,2,11253639701,11253402527,栀子花默默的开放,未知,河南,0,2025-08-07 23:14:12,[赞同]
1936704227499050817,1,11253372309,0,小河边的芦苇,男,江西,1,2025-08-07 17:47:52,人工智能必须坚持以人为本的核心价值观。[赞][赞][赞][握手][握手][握手]
1936704227499050817,2,11253519539,11253372309,流水非瀑布,女,江苏,1,2025-08-07 21:46:13,完全赞同友友
1936704227499050817,1,11253368431,0,蔡蔡,女,广东,1,2025-08-07 16:22:08,AI都好多出错，也不是包准的[捂嘴][捂嘴]
1936704227499050817,2,11253871349,11253368431,流水非瀑布,女,江苏,0,2025-08-07 21:46:33,是的，要自己具备分辨能力[赞]
1936704227499050817,1,11253320740,0,橙色阳光,女,江苏,1,2025-08-07 21:41:39,我就羡慕向友友这样的技术人才。[赞][赞][赞]
1936704227499050817,2,11253492160,11253320740,流水非瀑布,女,江苏,1,2025-08-07 22:31:44,[握手][握手][握手]
