answer_id,level,comment_id,parent_id,author_name,gender,ip_location,like_count,created_at,content
536904540,1,549373687,0,小伯劳shrike,男,,168,2018-11-22 23:34:59,"说的非常棒，也解答了我的一些疑惑。我还想说，其实很多人脑中恐惧的怕不是现实生活中的AI技术, 恐惧的是电影与小说中具备完全自主意识，已经可以自己说了算，根本不屑于做什么工具的超级人造人<br><br>我们离那个阶段应该还有很远"
536904540,1,549287128,0,吃面不喝汤,男,,146,2018-11-22 20:12:48,<p>原本从事“工具”工作的人会被取代，问题是，很多人从事的都是这种工作。</p>
536904540,2,549288449,549287128,YJango,男,,28,2018-11-22 20:15:54,<p>到时候可能会比我们在这里讨论的还要残酷</p>
536904540,2,549499813,549287128,YJango,男,,39,2018-11-23 10:04:36,好多人错误的去担心AI取代人类，你说的这种矛盾才是真正应该让人们予以重视的
536904540,1,549277023,0,百里平殊,女,,42,2018-11-22 19:47:24,嗯，设计从业者可以靠这篇文章平复一下被ai毕业生80w年薪冲击的世界观
536904540,2,549277430,549277023,YJango,男,,46,2018-11-22 19:48:27,"<p>80W太低了。彩票更多。可能比获得这80W几率还大些。</p><a class=""comment_sticker"" href=""https://picx.zhimg.com/v2-cb8443f07a41298e45191cef11b90fd2.gif?source=1d2f5c51"" data-width="""" data-height="""">[干杯]</a>"
536904540,2,549279050,549277023,百里平殊,女,,21,2018-11-22 19:52:24,哈哈哈没有错，反正对行业顶尖者而言，金钱只是数字。
536904540,1,549439761,0,上帝方程,未知,,32,2018-11-23 07:39:00,使用“工具”的人会更强大，充当“工具”的人会被淘汰，事实上，现阶段大部分人都是充当“工具”。<br>如果制度不作出改变，贫富差距会因AI时代的到来而扩大，人民之间的矛盾或会被激化。但在破立之前，大部分人会承受无比的剧痛。
536904540,2,549493252,549439761,YJango,男,,21,2018-11-23 09:51:24,你所说的这个确实是实情。很多解决方案是一点点提供培训，让人们学习到新技术。可问题是，这样的话每次工具更新都需要给予培训，所以我不认为这可以从根本上的解决问题。在我的专栏里开启了一个视频系列叫《学习观》，借鉴机器学习理论的人脑学习方法。如果有兴趣可以看看，因为我希望可以通过传播这样的内容来提高人们的学习能力，而不是不断不断的教新技术
536904540,2,557819929,549439761,张远,未知,,1,2018-12-10 14:50:00,国家只要能保证人民生活，那资本家就将变成时代发展的助燃剂! 否则，资本家生产给谁消费，这也不是资本家希望的
536904540,1,549354581,0,谈成,未知,,23,2018-11-22 22:49:59,已经开始去学习ai了，不求造轮子，当一个会用轮子的人[赞同]
536904540,1,549325258,0,阮籍,男,,17,2018-11-22 21:51:48,很多低级的工作反而不会被AI取代，比如搬家工人，比如理发师，比如保姆
536904540,2,549330421,549325258,YJango,男,,34,2018-11-22 22:05:07,确实。还有成本问题。好多地方由于机械比人贵，反而在用大量的人来做。
536904540,2,551519183,549325258,知乎用户p0FmTZ,女,,7,2018-11-27 14:12:13,赞同，相反的，那些能够通过数据总结出规律的行业，挖掘机工人，医生，律师，司机，服务员简单的编码人员。谢谢具有确定性，规律性的工作很容易被取代！
536904540,1,549646810,0,来点营养,男,,19,2018-11-23 15:06:28,我感觉你这个观点回避了一个问题。那就是ai在各行业得到大规模应用以后，这个行业需要的总得劳动力数量大大减少了，即这些人都掌握了这个ai工具的用法，但是这个行业需要的人变少了，他们还是免不了被淘汰失业。<br>举个例子，各种农业机器的出现使得现在农民的数量大大减少，然而粮食的总产量相比古代那个百分之八九十都是农民的时反而大大增加了，这并没有产生什么问题。原因是什么？<br>工业革命。工业革命的出现使得这些被解放的农民有了新的就业机会。<br>然而人工智能的出现却是要在很多很多的方面大规模取代人类，它所提供的就业机会仅仅只有研究ai的这一点点。大规模的失业和少量就业机会的产生必然会产生矛盾。
536904540,2,552171939,549646810,大尧,未知,,1,2018-11-28 18:19:36,不可避免的ai从业人员也会增加
536904540,2,552172553,549646810,大尧,未知,,5,2018-11-28 18:20:55,围绕ai的一系列工作服务都需要人，只是对人的一个更新过程，淘汰跟不上历史进程的部分人
536904540,1,549326868,0,China Sam,男,,18,2018-11-22 21:55:57,AI仅仅是效率工具，这个想法可以说是非常的一厢情愿了。
536904540,2,549338037,549326868,Neptuner,未知,,1,2018-11-22 22:23:42,请举例说明现在的AI不仅仅是效率工具。
536904540,2,549725695,549326868,且将新火试新茶,未知,,2,2018-11-23 17:54:04,无人车
536904540,1,549547707,0,南浦大桥下,未知,,17,2018-11-23 11:33:51,影像科医生算是医生吗？现在每个医院都有大量的影像科医生，他们的工作就是每天坐在电脑前，读片出报告，这样的工作，在可见的未来之内会被AI所取代。任何行业，真正做出决策的只是极少数人，你自己觉得你的工作是利用工具，其实在做决策的人眼中，你也只不过是一个工具而已。
536904540,2,561919865,549547707,影泊,未知,,0,2018-12-18 19:06:13,我是检验科的，想问一下影像科除了看片发报告，完全没有别的任务吗？
536904540,2,564606183,549547707,终end fin,男,,0,2018-12-24 03:47:28,希望被取代，不希望这个破烂专业去祸害更多的人了，来自在读影像医学生的呐喊
536904540,1,549489007,0,小邵同学,男,,12,2018-11-23 09:42:50,"读人工智能文章有感。给了我很大的启发，更新换代的只是工具，就现在最强大的AI也仅是工具，优良的工具会取代差的工具，但用工具实现背后的东西确实不变的，即最终到达的效果是什么，就我自己的理解，像销售vs网络运营，之前也是听知乎友说过，网络运营不过是用了网络这个工具的销售。<br>工欲善其事，必先利其器。也正是这个道理。还有一点，你的需求和你的行为的匹配，如果说为了所谓当然高薪，而去做所谓的那个高薪的职业，我想这是最大的误区，就像是障眼法一样，你是否能接受、喜欢其背后的东西，还是仅仅喜欢高薪的外衣，那也仅是外衣，是外衣就会变，是个极大的变数（有好有坏），而不入其内，不知其本质。迷失的人终究会被击败，<br>就设计而言，ui设计，网络设计，平面设计，油画，室内设计，……其他本质是什么，其实本质的东西是不会变的，那就是对美的热爱、追求与创造。<br>现在比较常见到的是，什么什么ui工资高啦，前景好啦，然后利用这个心理，很多人来做这过个职位，有人是真正的喜欢，但更多的是是迷失，是奔着钱去的，迷失了，可能你更容易失败，是的。所以，问问内心，<br>还有就是终身学习，是对真正爱其背后的人说的（即看中的不是高薪）。就如，如果你爱设计、适合设计，那就应该适应时代的步伐，学习也是痛苦的，像平面设计，那你就得会用ps,ai,coder这些工具。像网页设计，那你就得会DW，flash，这些难学的工具，对啊，学习是痛苦的，不学习岂不更加痛苦，那就是取代，和灭亡。"
536904540,2,549498523,549489007,YJango,男,,5,2018-11-23 10:02:00,如果当初的很多AI创业公司在开始前就想好这些的话恐怕就能避免不必要的损失。
536904540,1,549500046,0,特雷西亚,未知,,9,2018-11-23 10:05:02,对于历史来说只是微不足道的一个浪花，对于某一个具体的人生这就是全部。学习能力要更新，思维模式也要更新
536904540,2,549509841,549500046,YJango,男,,2,2018-11-23 10:23:39,我有出关于学习的视频，有几次我发到了今日头条上，收到了几个私信，说的都是“我今年四十了，还能来得及学习吗”。。我不知道该如何回复，真的不知道该如何帮助他们
536904540,2,549770843,549500046,特雷西亚,未知,,1,2018-11-23 19:49:25,这个时候需要灌鸡汤，而且是见效快的鸡汤，不是开玩笑。虽说朝闻道夕死可矣，然而也有人过中年万事休，40岁价值定型，记忆力下降，体能精力也下降，生活压力还大，想不断的折腾出效果，没有十年苦功不行，咱们上一辈在这个时间段还会问学习的，我个人估计应该是要的学习的功用，不是无用之用。我觉得答主你做的很好了，真正想改变的人他自身回意愿也有能力去做改变，我私以为，您后续如果想要帮助的更多的人，不妨让内容更平易近人一些，传播的范围更广一些，这样历史的涟漪可能就变成波纹了，自然能被更多人感知接受。
536904540,1,549662172,0,晴天,未知,,8,2018-11-23 15:39:07,说的并不完全中肯  有一些防止大众因AI可能代替自己产生而恐慌心理的意味 这并不好 因为未来AI确实会取代一部分人 举个最简单的例子 以后银行全都是无人银行 全程AI机器服务 这就意味着银行的桂圆啊什么的如果在这个时间节点到来的时候还没有为下一份工作的开始做好准备 那就成功OUT了！！
